Genetic_ID	Original_Group	Proposed_Clean_Group	Locality	Suffix	Data_Type	Assessment	Assessment_Warnings
HGDP01147.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01151.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01152.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01153.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01155.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01156.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01157.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01161.HO	Italian_North	Italian_Tuscan	Italy, modern 3	HO	HumanOrigins	Pass	..
HGDP01162.HO	Italian_North	Italian_Tuscan	Italy, modern 3	HO	HumanOrigins	Pass	..
HGDP01164.HO	Italian_North	Italian_Tuscan	Italy, modern 3	HO	HumanOrigins	Pass	..
HGDP01166.HO	Italian_North	Italian_Tuscan	Italy, modern 3	HO	HumanOrigins	Pass	..
HGDP01167.HO	Italian_North	Italian_Tuscan	Italy, modern 3	HO	HumanOrigins	Pass	..
HGDP01169.HO	Italian_North	Italian_Tuscan	Italy, modern 3	HO	HumanOrigins	Pass	..
HGDP01171.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01172.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01173.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01174.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
HGDP01177.HO	Italian_North	Italian_Bergamo	Italy, modern 2	HO	HumanOrigins	Pass	..
ALP211.HO	Italian_North	Italian_North	Modena (Emilia-Romagna, Modena)	HO	HumanOrigins	Pass	..
ALP156.HO	Italian_North	Italian_North	Piacenza (Emilia-Romagna, Piacenza)	HO	HumanOrigins	Pass	..
ALP202.HO	Italian_North	Italian_North	Bassano del Grappa (Veneto, Vicenza)	HO	HumanOrigins	Pass	..
ALP278.HO	Italian_North	Italian_North	Borgonovo Val Tidone (Emilia-Romagna, Piacenza)	HO	HumanOrigins	Pass	..
ALP134.HO	Italian_North	Italian_North	Cremona (Lombardy)	HO	HumanOrigins	Pass	..
ALP603.HO	Italian_North	Italian_North	Vernate (Lombardy, Milan)	HO	HumanOrigins	Pass	..
ALP533.HO	Italian_North	Italian_North	Torino (Piedmont, Turin)	HO	HumanOrigins	Pass	..
ALP67.HO	Italian_North	Italian_North	Borgo Val di Taro (Emilia-Romagna, Parma)	HO	HumanOrigins	Pass	..
ALP392.HO	Italian_North	Italian_North	Busseto (Emilia-Romagna, Parma)	HO	HumanOrigins	Pass	..
ALP68.HO	Italian_North	Italian_North	Alessandria (Piedmont, Alessandria)	HO	HumanOrigins	Pass	..
ALP73.HO	Italian_North	Italian_North	Cuneo (Piedmont, Cuneo)	HO	HumanOrigins	Pass	..
ALP108.HO	Italian_North	Italian_North	Treviso (Veneto, Treviso)	HO	HumanOrigins	Pass	..
ALP342.HO	Italian_North	Italian_North	Parma (Emilia-Romagna, Parma)	HO	HumanOrigins	Pass	..
ALP277.HO	Italian_North	Italian_North	Domodossola (Piedmont, Verbano-Cusio-Ossola)	HO	HumanOrigins	Pass	..
ALP481.HO	Italian_North	Italian_North	Sappada (Veneto, Belluno)	HO	HumanOrigins	Pass	..
ALP28.HO	Italian_North	Italian_North	Ferrara (Emilia-Romagna, Ferrara)	HO	HumanOrigins	Pass	..
ALP76.HO	Italian_North	Italian_North	Bergamo (Lombardy, Bergamo)	HO	HumanOrigins	Pass	..
Nei27.HO	Italian_North	Italian_North	Nogarè (Trentino-Alto Adige, Trento)	HO	HumanOrigins	Pass	..
Nei18.HO	Italian_North	Italian_North	Taio (Trentino-Alto Adige, Trento)	HO	HumanOrigins	Pass	..
S_Bergamo-1.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Bergamo-2.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Druze-1.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Druze-2.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Greek-2.DG	Greek	Greek	Greece, modern	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Iraqi_Jew-1.DG	Jew_Iraqi	Jew_Iraqi	Iraq, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Iraqi_Jew-2.DG	Jew_Iraqi	Jew_Iraqi	Iraq, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Palestinian-1.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Palestinian-2.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Palestinian-3.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Tuscan-1.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Tuscan-2.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Yemenite_Jew-1.DG	Jew_Yemenite	Jew_Yemenite	Yemen, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
S_Yemenite_Jew-2.DG	Jew_Yemenite	Jew_Yemenite	Yemen, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00557.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00558.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00559.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00560.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00561.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00562.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00563.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00564.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00565.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00566.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00567.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00568.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00569.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00571.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00572.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00573.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00574.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00575.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00576.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00577.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00578.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00579.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00580.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00581.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00582.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00583.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00584.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00586.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00587.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00588.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00590.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00591.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00594.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00595.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00597.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00598.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00599.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
